,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
173,-1.53473266981,554.067760927,0.0025,9824.83233417,237.224365228,1.73,124.179437771
174,-1.53491823955,552.724890664,0.0025,9822.81833361,238.465406744,1.74,124.028862292
175,-1.53510435081,551.383487175,0.0025,9820.80408884,239.704942413,1.75,123.878268555
176,-1.53529100384,550.043550581,0.0025,9818.78959917,240.942972054,1.76,123.727656507
177,-1.5354781989,548.705081004,0.0025,9816.77486387,242.179495482,1.77,123.577026096
178,-1.53566593625,547.36807857,0.0025,9814.75988223,243.414512514,1.78,123.426377268
179,-1.53585421614,546.032543403,0.0025,9812.74465355,244.648022966,1.79,123.275709969
180,-1.53604303883,544.698475634,0.0025,9810.72917711,245.880026652,1.8,123.125024147
181,-1.53623240458,543.365875393,0.0025,9808.71345221,247.110523387,1.81,122.974319748
182,-1.53642231364,542.034742814,0.0025,9806.69747811,248.339512985,1.82,122.823596719
183,-1.53661276628,540.705078031,0.0025,9804.68125412,249.566995259,1.83,122.672855007
184,-1.53680376276,539.376881182,0.0025,9802.66477952,250.792970022,1.84,122.522094558
185,-1.53699530334,538.050152406,0.0025,9800.64805359,252.017437088,1.85,122.371315318
186,-1.53718738828,536.724891846,0.0025,9798.63107563,253.240396266,1.86,122.220517236
187,-1.53738001785,535.401099645,0.0025,9796.61384491,254.461847369,1.87,122.069700256
188,-1.5375731923,534.07877595,0.0025,9794.59636072,255.681790208,1.88,121.918864326
189,-1.53776691191,532.757920908,0.0025,9792.57862235,256.900224592,1.89,121.768009392
190,-1.53796117694,531.43853467,0.0025,9790.56062908,258.117150332,1.9,121.6171354
191,-1.53815598766,530.120617389,0.0025,9788.5423802,259.332567237,1.91,121.466242298
192,-1.53835134433,528.80416922,0.0025,9786.52387498,260.546475114,1.92,121.315330031
193,-1.53854724722,527.489190319,0.0025,9784.50511271,261.758873773,1.93,121.164398546
194,-1.5387436966,526.175680845,0.0025,9782.48609268,262.969763021,1.94,121.013447789
195,-1.53894069274,524.86364096,0.0025,9780.46681417,264.179142665,1.95,120.862477707
196,-1.53913823591,523.553070827,0.0025,9778.44727645,265.387012511,1.96,120.711488246
197,-1.53933632638,522.243970612,0.0025,9776.42747882,266.593372365,1.97,120.560479353
198,-1.53953496442,520.936340483,0.0025,9774.40742054,267.798222033,1.98,120.409450973
199,-1.53973415031,519.63018061,0.0025,9772.38710092,269.001561319,1.99,120.258403053
200,-1.53993388431,518.325491164,0.0025,9770.36651921,270.203390028,2.0,120.107335539
201,-1.54013416672,517.022272321,0.0025,9768.34567471,271.403707964,2.01,119.956248377
202,-1.54033499779,515.720524257,0.0025,9766.3245667,272.60251493,2.02,119.805141514
203,-1.5405363778,514.42024715,0.0025,9764.30319445,273.799810729,2.03,119.654014895
204,-1.54073830704,513.121441182,0.0025,9762.28155725,274.995595162,2.04,119.502868467
205,-1.54094078577,511.824106536,0.0025,9760.25965436,276.189868032,2.05,119.351702176
206,-1.54114381428,510.528243397,0.0025,9758.23748509,277.382629139,2.06,119.200515968
207,-1.54134739285,509.233851952,0.0025,9756.21504869,278.573878285,2.07,119.049309788
208,-1.54155152176,507.940932392,0.0025,9754.19234444,279.763615268,2.08,118.898083584
209,-1.54175620128,506.649484908,0.0025,9752.16937164,280.951839889,2.09,118.746837301
210,-1.54196143171,505.359509695,0.0025,9750.14612954,282.138551947,2.1,118.595570884
211,-1.54216721331,504.071006948,0.0025,9748.12261744,283.32375124,2.11,118.444284281
212,-1.54237354639,502.783976866,0.0025,9746.0988346,284.507437565,2.12,118.292977436
213,-1.54258043121,501.49841965,0.0025,9744.0747803,285.689610721,2.13,118.141650296
214,-1.54278786806,500.214335503,0.0025,9742.05045382,286.870270503,2.14,117.990302806
215,-1.54299585723,498.931724631,0.0025,9740.02585444,288.049416709,2.15,117.838934912
216,-1.54320439901,497.650587239,0.0025,9738.00098142,289.227049133,2.16,117.687546561
217,-1.54341349369,496.370923539,0.0025,9735.97583404,290.403167572,2.17,117.536137697
218,-1.54362314155,495.092733741,0.0025,9733.95041158,291.577771819,2.18,117.384708267
219,-1.54383334287,493.81601806,0.0025,9731.92471331,292.750861668,2.19,117.233258216
220,-1.54404409796,492.540776712,0.0025,9729.8987385,293.922436914,2.2,117.08178749
221,-1.5442554071,491.267009915,0.0025,9727.87248643,295.092497349,2.21,116.930296034
222,-1.54446727058,489.994717891,0.0025,9725.84595637,296.261042766,2.22,116.778783795
223,-1.5446796887,488.723900861,0.0025,9723.81914759,297.428072956,2.23,116.627250718
224,-1.54489266175,487.454559051,0.0025,9721.79205936,298.59358771,2.24,116.475696747
225,-1.54510619002,486.186692689,0.0025,9719.76469096,299.757586821,2.25,116.32412183
226,-1.54532027381,484.920302003,0.0025,9717.73704165,300.920070077,2.26,116.172525911
227,-1.54553491341,483.655387226,0.0025,9715.70911072,302.081037269,2.27,116.020908936
228,-1.54575010912,482.391948591,0.0025,9713.68089741,303.240488185,2.28,115.869270851
229,-1.54596586123,481.129986335,0.0025,9711.65240102,304.398422615,2.29,115.7176116
230,-1.54618217005,479.869500697,0.0025,9709.6236208,305.554840347,2.3,115.565931129
231,-1.54639903588,478.610491916,0.0025,9707.59455602,306.709741167,2.31,115.414229383
232,-1.546616459,477.352960237,0.0025,9705.56520597,307.863124863,2.32,115.262506309
233,-1.54683443973,476.096905903,0.0025,9703.53556989,309.014991222,2.33,115.11076185
234,-1.54705297837,474.842329163,0.0025,9701.50564706,310.165340029,2.34,114.958995953
235,-1.54727207522,473.589230266,0.0025,9699.47543675,311.314171069,2.35,114.807208562
236,-1.54749173057,472.337609464,0.0025,9697.44493823,312.461484128,2.36,114.655399624
237,-1.54771194474,471.087467011,0.0025,9695.41415076,313.60727899,2.37,114.503569082
238,-1.54793271803,469.838803164,0.0025,9693.38307361,314.751555438,2.38,114.351716882
239,-1.54815405075,468.591618181,0.0025,9691.35170604,315.894313255,2.39,114.19984297
240,-1.54837594319,467.345912323,0.0025,9689.32004732,317.035552224,2.4,114.04794729
241,-1.54859839568,466.101685853,0.0025,9687.28809672,318.175272128,2.41,113.896029787
242,-1.54882140851,464.858939037,0.0025,9685.2558535,319.313472747,2.42,113.744090407
243,-1.549044982,463.617672142,0.0025,9683.22331692,320.450153863,2.43,113.592129094
244,-1.54926911645,462.377885438,0.0025,9681.19048625,321.585315256,2.44,113.440145794
245,-1.54949381218,461.139579198,0.0025,9679.15736075,322.718956705,2.45,113.288140451
246,-1.5497190695,459.902753695,0.0025,9677.12393968,323.851077991,2.46,113.13611301
247,-1.54994488872,458.667409207,0.0025,9675.09022232,324.981678892,2.47,112.984063417
248,-1.55017127015,457.433546013,0.0025,9673.05620791,326.110759185,2.48,112.831991615
249,-1.55039821411,456.201164393,0.0025,9671.02189572,327.23831865,2.49,112.67989755
250,-1.55062572091,454.970264631,0.0025,9668.98728502,328.364357062,2.5,112.527781167
251,-1.55077834468,453.740906782,0.0025,9667.59675595,329.488874219,2.51,112.375649811
252,-1.55078485206,452.513206932,0.0025,9666.35016114,330.611870057,2.52,112.223517817
253,-1.55078812999,451.287167656,0.0025,9665.1035637,331.733344574,2.53,112.071385502
254,-1.55079193773,450.062788544,0.0025,9663.85696319,332.853297766,2.54,111.919252813
255,-1.55079627529,448.840069192,0.0025,9662.6103592,333.971729629,2.55,111.767119698
256,-1.55080114268,447.619009197,0.0025,9661.36375129,335.088640159,2.56,111.614986106
257,-1.5508065399,446.399608158,0.0025,9660.11713905,336.20402935,2.57,111.462851985
258,-1.55081246696,445.181865677,0.0025,9658.87052204,337.317897196,2.58,111.310717282
259,-1.55081892387,443.965781358,0.0025,9657.62389984,338.430243693,2.59,111.158581945
260,-1.55082591064,442.751354806,0.0025,9656.37727203,339.541068833,2.6,111.006445923
261,-1.55083342727,441.538585631,0.0025,9655.13063817,340.650372609,2.61,110.854309164
262,-1.55084147378,440.327473443,0.0025,9653.88399784,341.758155014,2.62,110.702171615
263,-1.55085005018,439.118017854,0.0025,9652.63735062,342.864416039,2.63,110.550033226
264,-1.55085915648,437.910218481,0.0025,9651.39069608,343.969155675,2.64,110.397893942
265,-1.55086879269,436.70407494,0.0025,9650.1440338,345.072373914,2.65,110.245753714
266,-1.55087895882,435.499586851,0.0025,9648.89736334,346.174070746,2.66,110.093612488
267,-1.5508896549,434.296753836,0.0025,9647.65068429,347.27424616,2.67,109.941470213
268,-1.55090088092,433.09557552,0.0025,9646.40399621,348.372900147,2.68,109.789326836
269,-1.55091263692,431.896051529,0.0025,9645.15729868,349.470032693,2.69,109.637182307
270,-1.5509249229,430.698181492,0.0025,9643.91059127,350.565643789,2.7,109.485036572
271,-1.55093773888,429.501965039,0.0025,9642.66387356,351.659733421,2.71,109.33288958
272,-1.55095108489,428.307401804,0.0025,9641.41714513,352.752301576,2.72,109.180741278
273,-1.55096496093,427.114491423,0.0025,9640.17040554,353.843348242,2.73,109.028591615
274,-1.55097936702,425.923233534,0.0025,9638.92365436,354.932873404,2.74,108.87644054
275,-1.55099430319,424.733627776,0.0025,9637.67689119,356.020877048,2.75,108.724287998
276,-1.55100976946,423.545673792,0.0025,9636.43011558,357.107359159,2.76,108.57213394
277,-1.55102576585,422.359371226,0.0025,9635.18332711,358.192319721,2.77,108.419978312
278,-1.55104229238,421.174719725,0.0025,9633.93652536,359.275758719,2.78,108.267821063
279,-1.55105934907,419.991718939,0.0025,9632.68970989,360.357676137,2.79,108.115662141
280,-1.55107693594,418.810368519,0.0025,9631.44288029,361.438071956,2.8,107.963501494
281,-1.55109505303,417.630668118,0.0025,9630.19603613,362.516946161,2.81,107.811339069
282,-1.55111370034,416.452617392,0.0025,9628.94917697,363.594298732,2.82,107.659174815
283,-1.55113287792,415.276216,0.0025,9627.7023024,364.670129651,2.83,107.50700868
284,-1.55115258579,414.101463602,0.0025,9626.45541199,365.744438899,2.84,107.354840611
285,-1.55117282397,412.92835986,0.0025,9625.20850531,366.817226456,2.85,107.202670557
286,-1.55119359248,411.756904439,0.0025,9623.96158193,367.888492303,2.86,107.050498466
287,-1.55121489137,410.587097007,0.0025,9622.71464144,368.958236419,2.87,106.898324285
288,-1.55123672066,409.418937232,0.0025,9621.46768339,370.026458782,2.88,106.746147963
